Date,Price,Open,High,Low,Vol.,Change %
"Dec 29, 2020",585,581,595,581,254.20K,0.69%
"Dec 28, 2020",581,586,586,578.5,176.25K,-2.68%
"Dec 23, 2020",597,590,600.5,582.5,288.53K,0.51%
"Dec 22, 2020",594,609,609.5,580.5,666.66K,-2.54%
"Dec 21, 2020",609.5,632,632.5,606,594.61K,-4.17%
"Dec 18, 2020",636,650,650,630,121.90K,-2.15%
"Dec 17, 2020",650,645,650,635,134.52K,0.78%
"Dec 16, 2020",645,640,660,638,218.59K,1.57%
"Dec 15, 2020",635,642,642,631,264.15K,-1.40%
"Dec 14, 2020",644,650,650,642.5,373.40K,-1.68%
"Dec 11, 2020",655,656.5,664.5,654.5,169.95K,-0.23%
"Dec 10, 2020",656.5,668,668,651,313.48K,-1.87%
"Dec 09, 2020",669,660,673.5,654.5,294.40K,0.53%
"Dec 07, 2020",665.5,645,666.5,642,319.25K,2.54%
"Dec 04, 2020",649,639.5,650,625,253.76K,1.41%
"Dec 03, 2020",640,630,640,625,277.36K,3.23%
"Dec 02, 2020",620,621.5,640,611,395.14K,0.00%
"Dec 01, 2020",620,590,620,580.5,347.76K,6.90%
"Nov 27, 2020",580,578,603,574,574.67K,0.35%
"Nov 26, 2020",578,580,586,570,331.27K,1.40%
"Nov 25, 2020",570,585,602,570,560.46K,-3.23%
"Nov 24, 2020",589,615.5,624,583.5,511.68K,-3.44%
"Nov 23, 2020",610,603,633.5,603,319.93K,1.16%
"Nov 20, 2020",603,561,616,561,499.51K,7.68%
"Nov 19, 2020",560,548,560,547.5,287.17K,2.75%
"Nov 18, 2020",545,545,558,545,237.49K,0.00%
"Nov 17, 2020",545,530,557,530,357.24K,3.81%
"Nov 16, 2020",525,554,554,525,448.33K,-5.23%
"Nov 13, 2020",554,552,572,550,571.27K,-1.07%
"Nov 11, 2020",560,529.5,576,517,740.56K,5.76%
"Nov 10, 2020",529.5,511,530,511,798.93K,3.82%
